0.06721688;-0.07412478;1.273147
0.01587487;-0.06982658;1.221411
-0.03048557;-0.06223008;1.166341
-0.09089573;-0.06656507;1.111241
0.06998435;-0.03390167;1.275782
0.01603053;-0.03425122;1.223791
-0.02142567;-0.03307303;1.160791
-0.08660244;-0.04147759;1.100502
0.073119;0.02389707;1.258368
0.0169614;0.02344474;1.206454
-0.02206827;0.0209072;1.152799
-0.07290134;0.02539875;1.103001
0.06936631;0.09716827;1.258669
0.017225;0.09548696;1.209636
-0.03650821;0.1028767;1.164302
-0.07256982;0.09108821;1.107704
